Time (s),Channel 1 (V),Channel 2 (V)
0.010038248181818182,-0.53000486760982291,0.50916690904641337
0.010038268181818182,-0.52371324197135094,0.50783139136260613
0.010038288181818181,-0.51940844548187159,0.50749751194165416
0.010038308181818181,-0.51477251080089537,0.50816527078355345
0.010038328181818181,-0.51013657611991348,0.51217182383494475
0.010038348181818181,-0.50583177963042469,0.51417510036069136
0.010038368181818181,-0.50252039771541901,0.51551061804451392
0.010038388181818181,-0.49490421931107698,0.51584449746549421
0.010038408181818181,-0.49126169920445384,0.51951717109585416
0.010038428181818182,-0.48033413888469612,0.51951717109593287
0.010038448181818182,-0.47801617154406989,0.51784777399134585
0.010038468181818182,-0.47172454590559437,0.5211865682007718
0.010038488181818182,-0.46543292026717731,0.52118656820082498
0.010038508181818182,-0.46145926196906689,0.52352372414744486
0.010038528181818182,-0.45020056345820408,0.523189844726482
0.010038548181818182,-0.44655804335172183,0.5218543270426873
0.010038568181818181,-0.44357779962823618,0.52318984472649532
0.010038588181818181,-0.43662389760677317,0.52753027719886869
0.010038608181818181,-0.4333125156917596,0.52652863893605062
0.010038628181818181,-0.4266897518618275,0.52853191546172618
0.010038648181818181,-0.42039812622335171,0.52953355372460031
0.010038668181818181,-0.41443763877637219,0.52886579488273733
0.010038688181818181,-0.41112625686130316,0.53020131256648462
0.010038708181818181,-0.40450349303145544,0.53086907140841288
0.010038728181818182,-0.39788072920074452,0.53053519198751287
0.010038748181818182,-0.38695316888150394,0.53120295082935187
0.010038768181818182,-0.38264837239200711,0.52986743314563189
0.010038788181818182,-0.37768129951955748,0.53187070967138395
0.010038808181818182,-0.37403877941301866,0.53587726272271452
0.010038828181818182,-0.36675373920005905,0.53320622735509604
0.010038848181818182,-0.36079325175308496,0.53053519198749466
0.010038868181818181,-0.3538393497316184,0.53320622735511058
0.010038888181818181,-0.35152138239111053,0.53354010677607144
0.010038908181818181,-0.34986569143361096,0.54088545403695831
0.010038928181818181,-0.33794471653981756,0.54121933345801243
0.010038948181818181,-0.33397105824167039,0.53320622735533896
0.010038968181818181,-0.32635487983729944,0.53420786561794997
0.010038988181818181,-0.32006325419878628,0.53821441866927555
0.010039008181818182,-0.31708301047461995,0.5428887305626503
0.010039028181818182,-0.30714886472994773,0.53954993635323667
0.010039048181818182,-0.30516203558079824,0.53921605693228458
0.010039068181818182,-0.29787699536780976,0.53888217751120626
0.010039088181818182,-0.28959854058036005,0.53320622735512035
0.010039108181818182,-0.28231350036745162,0.53320622735523093
0.010039128181818182,-0.27999553302691854,0.54188709229994036
0.010039148181818182,-0.27072366366496303,0.54389036882565245
0.010039168181818181,-0.26509431440948494,0.54255485114184321
0.010039188181818181,-0.25648472143053475,0.53954993635328152
0.010039208181818181,-0.24953081940905,0.53921605693230035
0.010039228181818181,-0.24621943749400296,0.54322260998364946
0.010039248181818181,-0.23992781185559794,0.54689528361413264
0.010039268181818181,-0.23529187717457201,0.53988381577445155
0.010039288181818181,-0.23231163345102493,0.5442242482464289
0.010039308181818182,-0.22204634951430738,0.54222097172094863
0.010039328181818182,-0.22005952036493806,0.54389036882563002
0.010039348181818182,-0.20681399270530884,0.54322260998368044
0.010039368181818182,-0.2048271635562226,0.54088545403720367
0.010039388181818182,-0.19853553791766579,0.54722916303516089
0.010039408181818182,-0.18727683940681261,0.54522588650943216
0.010039428181818182,-0.18529001025779926,0.54155321287895775
0.010039448181818181,-0.17701155547033151,0.53721278040657772
0.010039468181818181,-0.1717133444063515,0.5365450215646671
0.010039488181818181,-0.1660839951508761,0.53454174503896412
0.010039508181818181,-0.16111692227839094,0.53754665982746386
0.010039528181818181,-0.15350074387397361,0.53888217751130651
0.010039548181818181,-0.15052050015036983,0.53754665982756655
0.010039568181818181,-0.14191090717158253,0.53687890098564062
0.010039588181818181,-0.13727497249045667,0.53921605693219254
0.010039608181818182,-0.13131448504293625,0.5422209717209191
0.010039628181818182,-0.12303603025552717,0.54322260998372351
0.010039648181818182,-0.11641326642558669,0.54255485114180191
0.010039668181818182,-0.11111505536157419,0.54121933345799933
0.010039688181818182,-0.10416115334014371,0.54021769519517526
0.010039708181818182,-0.099856356850630656,0.54155321287896141
0.010039728181818182,-0.090915625680167866,0.53988381577419076
0.010039748181818181,-0.083299447275704444,0.53320622735515077
0.010039768181818181,-0.077670098020217321,0.53153683025036635
0.010039788181818181,-0.072371886956239445,0.53287234793414429
0.010039808181818181,-0.062437741211354009,0.53020131256659153
0.010039828181818181,-0.069391643232451977,0.53921605693204044
0.010039848181818181,-0.044225140679455564,0.53387398619720838
0.010039868181818181,-0.059457497487022948,0.53854829809019933
0.010039888181818182,-0.024025710998161282,0.53153683025010379
0.010039908181818182,-0.050516766316202964,0.52552700067393698
0.010039928181818182,-0.024025710996865055,0.54756304245533161
0.010039948181818182,-0.01674067078453249,0.51951717109666162
0.010039968181818182,-0.03727123865613647,0.54856468071847941
0.010039988181818182,0.018359977514537482,0.51784777399133253
0.010040008181818182,-0.023032296422340608,0.52719639777797334
0.010040028181818181,0.020015668472452678,0.53220458909225343
0.010040048181818181,-0.00051489940040958665,0.52051880935893791
0.010040068181818181,0.015379733791282185,0.53520950388065802
0.010040088181818181,0.029287537834253349,0.52886579488283203
0.010040108181818181,0.024320464962120536,0.52051880935906847
0.010040128181818181,0.032598919749255523,0.53788053924794121
0.010040148181818181,0.050149243898400489,0.52552700067362479
0.010040168181818181,0.031936643367272435,0.52452536241035486
0.010040188181818182,0.065050462516195465,0.52986743314515816
0.010040208181818182,0.055447454963307469,0.51884941225419123
0.010040228181818182,0.063394771559382848,0.52185432704260948
0.010040248181818182,0.075646884644641199,0.51918329167494914
0.010040268181818182,0.078627128368170263,0.51450897978175236
0.010040288181818182,0.084587615815204284,0.51884941225405334
0.010040308181818182,0.096839728900599373,0.51450897978169552
0.010040328181818181,0.092203794219617399,0.5168461357283618
0.010040348181818181,0.11174094751795763,0.51417510036075942
0.010040368181818181,0.10611159826270844,0.51150406499314094
0.010040388181818181,0.11571460581594066,0.51851553283299212
0.010040408181818181,0.12564875156088601,0.50883302962573329
0.010040428181818181,0.12597988975264676,0.51083630615112818
0.010040448181818181,0.13525175911431797,0.51283958267684204
0.010040468181818182,0.1418745229449041,0.50849915020422165
0.010040488181818182,0.14717273400888348,0.50148768236457542
0.010040508181818182,0.15247094507287792,0.50415871773202114
0.010040528181818182,0.15843143251983036,0.50115380294363077
0.010040548181818182,0.16339850539232453,0.50549423541596417
0.010040568181818182,0.16935899283931399,0.5074975119416526
0.010040588181818182,0.17631289486080595,0.50749751194162496
0.010040608181818182,0.18724045518025345,0.50315707946924892
0.010040628181818181,0.19253866624423283,0.50148768236448737
0.010040648181818181,0.20081712103168434,0.49614561162927046
0.010040668181818181,0.20909557581914456,0.48980190263119339
0.010040688181818181,0.20743988486182421,0.49080354089392247
0.010040708181818181,0.21671175422352973,0.4924729379986682
0.010040728181818181,0.21803630698975587,0.49147129973588904
0.010040748181818181,0.22300337986210611,0.49514397336619947
0.010040768181818182,0.23393094018189273,0.49447621452430796
0.010040788181818182,0.23558663113971912,0.49113742031476543
0.010040808181818182,0.24717646784211797,0.4871308672631966
0.010040828181818182,0.2567794753954345,0.47811612289769662
0.010040848181818182,0.26009085731044329,0.47845000231866536
0.010040868181818182,0.26472679199145088,0.47978552000246327
0.010040888181818182,0.27234297039589983,0.48011939942342502
0.010040908181818181,0.27598549050238563,0.48312431421199581
0.010040928181818181,0.28360166890684879,0.48212267594914615
0.010040948181818181,0.28790646539635217,0.47611284637204654
0.010040968181818181,0.29419809103479488,0.47277405216249008
0.010040988181818181,0.30082085486476245,0.46943525795296709
0.010041008181818181,0.30611906592877558,0.47077077563665726
0.010041028181818181,0.31241069156721468,0.4701030167948152
0.010041048181818182,0.31704662624881791,0.47077077563652364
0.010041068181818182,0.32532508103613,0.46676422258508715
0.010041088181818182,0.32962987752575262,0.46242379011273177
0.010041108181818182,0.33857060869608296,0.4587511164822734
0.010041128181818182,0.34221312880263505,0.45574620169372942
0.010041148181818182,0.34916703082404738,0.45407680458902405
0.010041168181818182,0.35214727454757166,0.45641396053565647
0.010041188181818182,0.36042572933503042,0.45441068400994089
0.010041208181818181,0.36373711125001751,0.4514057692213701
0.010041228181818181,0.37598922433542614,0.4507380103794576
0.010041248181818181,0.3753269479525585,0.44673145732806702
0.010041268181818181,0.3845988173143598,0.44639757790705453
0.010041288181818181,0.38956589018693444,0.44372654253948712
0.010041308181818181,0.39155271933600622,0.44105550717187114
0.010041328181818181,0.39817548316581841,0.44305878369742585
0.010041348181818182,0.40512938518781111,0.43938611006687395
0.010041368181818182,0.41042759625178571,0.43604731585742323
0.010041388181818182,0.41572580731574582,0.43471179817362371
0.010041408181818182,0.42036174199677473,0.43371015991069567
0.010041428181818182,0.42698450582674868,0.42970360685930631
0.010041448181818182,0.43393840784821164,0.42770033033358701
0.010041468181818182,0.44056117167817682,0.42502929496595943
0.010041488181818181,0.44552824455065748,0.42068886249357951
0.010041508181818181,0.45082645561463203,0.42436153612405153
0.010041528181818181,0.45744921944459183,0.4233598978612253
0.010041548181818181,0.46241629231709358,0.42369377728216057
0.010041568181818181,0.46937019433853039,0.42068886249365056
0.010041588181818181,0.4733438526365818,0.41634843002130612
0.010041608181818181,0.4786420637005166,0.41467903291646596
0.010041628181818181,0.48493368933895592,0.40933696218136267
0.010041648181818182,0.48956962402044146,0.40833532391816202
0.010041668181818182,0.49519897327601708,0.4053304091295038
0.010041688181818182,0.50380856625486625,0.39965445897334195
0.010041708181818182,0.50811336274438701,0.3949801470801047
0.010041728181818182,0.51440498838282789,0.39464626765913818
0.010041748181818182,0.51870978487231723,0.3933107499753411
0.010041768181818182,0.52367685774479422,0.39331074997533017
0.010041788181818181,0.52765051604277513,0.39030583518676215
0.010041808181818181,0.53526669444722863,0.38529764387248761
0.010041828181818181,0.53824693817075919,0.38429600560959426
0.010041848181818181,0.54056490551125769,0.38396212618863251
0.010041868181818181,0.5498367748730677,0.38429600560957056
0.010041888181818181,0.55347929497970716,0.3832943673467501
0.010041908181818181,0.55943978242660808,0.37728453776977261
0.010041928181818182,0.56573140806544253,0.3719424670341373
0.010041948181818182,0.56804937540605405,0.3686036728247114
0.010041968181818182,0.57367872466152192,0.36793591398272418
0.010041988181818182,0.57897693572551268,0.36459711977326159
0.010042008181818182,0.58493742317247799,0.36359548151034488
0.010042028181818182,0.59056677242792244,0.35925504903798611
0.010042048181818182,0.59354701615146388,0.35658401367035308
0.010042068181818182,0.60381230008790765,0.35190970177702602
0.010042088181818181,0.60646140561989492,0.348237028146554
0.010042108181818181,0.61010392572637528,0.35024030467223682
0.010042128181818181,0.61308416944986821,0.35190970177700048
0.010042148181818181,0.62070034785425154,0.34890478698851324
0.010042168181818181,0.62533628253530393,0.3458998721999425
0.010042188181818181,0.63229018455670938,0.34022392204383106
0.010042208181818181,0.63493929008884542,0.33755288667611116
0.010042228181818182,0.64023750115302847,0.337219007254981
0.010042248181818182,0.64189319211076235,0.3355496101502079
0.010042268181818182,0.6505027850896089,0.33354633362433589
0.010042288181818182,0.65513871977067351,0.32586710694236698
0.010042308181818182,0.66374831274953694,0.31484908605105022
0.010042328181818182,0.66606628009001345,0.3105086535788415
0.010042348181818182,0.66705969466451853,0.32186055389116763
0.010042368181818181,0.6710333529625031,0.32453158925878606
0.010042388181818181,0.6769938404094763,0.31651848315595016
0.010042408181818181,0.6839477424309357,0.30683597994835432
0.010042428181818181,0.68957709168642667,0.30383106515969521
0.010042448181818181,0.69321961179295222,0.30550046226436317
0.010042468181818181,0.69719327009092835,0.31117641242045035
0.010042488181818181,0.69951123743146837,0.3091731358949758
0.010042508181818181,0.70646513945276224,0.30282942689704961
0.010042528181818182,0.71043879775119845,0.29715347674036124
0.010042548181818182,0.71375017966628806,0.29214528542600682
0.010042568181818182,0.72037294349607073,0.28479993816522431
0.010042588181818182,0.71971066711325216,0.28379829990235406
0.010042608181818182,0.72798912190061305,0.28212890279756214
0.010042628181818182,0.72898253647514677,0.27812234974614541
0.010042648181818182,0.73527416211361807,0.27511743495756863
0.010042668181818181,0.73924782041160264,0.26877372595947485
